city,datetime,timezone,discharge,gauge_lvl
Concrete,2020-01-31 00:00,PST,19000,19.68
Concrete,2020-01-31 00:05,PST,19000,19.67
Concrete,2020-01-31 00:10,PST,18900,19.65
Concrete,2020-01-31 00:15,PST,18900,19.66
Concrete,2020-01-31 00:20,PST,19100,19.7
Concrete,2020-01-31 00:25,PST,19200,19.72
Concrete,2020-01-31 00:30,PST,18900,19.66
Concrete,2020-01-31 00:35,PST,19300,19.73
Concrete,2020-01-31 00:40,PST,19200,19.71
Concrete,2020-01-31 00:45,PST,18900,19.66
Concrete,2020-01-31 00:50,PST,19200,19.72
Concrete,2020-01-31 00:55,PST,18900,19.66
Concrete,2020-01-31 01:00,PST,19100,19.7
Concrete,2020-01-31 01:05,PST,19200,19.71
Concrete,2020-01-31 01:10,PST,18900,19.65
Concrete,2020-01-31 01:15,PST,19200,19.71
Concrete,2020-01-31 01:20,PST,19100,19.69
Concrete,2020-01-31 01:25,PST,19200,19.72
Concrete,2020-01-31 01:30,PST,19000,19.67
Concrete,2020-01-31 01:35,PST,19100,19.7
Concrete,2020-01-31 01:40,PST,19100,19.7
Concrete,2020-01-31 01:45,PST,19200,19.72
Concrete,2020-01-31 01:50,PST,19100,19.69
Concrete,2020-01-31 01:55,PST,19000,19.67
Concrete,2020-01-31 02:00,PST,19200,19.72
Concrete,2020-01-31 02:05,PST,19000,19.68
Concrete,2020-01-31 02:10,PST,19400,19.77
Concrete,2020-01-31 02:15,PST,19200,19.71
Concrete,2020-01-31 02:20,PST,19200,19.71
Concrete,2020-01-31 02:25,PST,19000,19.67
Concrete,2020-01-31 02:30,PST,19200,19.71
Concrete,2020-01-31 02:35,PST,19100,19.7
Concrete,2020-01-31 02:40,PST,19000,19.67
Concrete,2020-01-31 02:45,PST,19200,19.72
Concrete,2020-01-31 02:50,PST,19300,19.73
Concrete,2020-01-31 02:55,PST,19000,19.68
Concrete,2020-01-31 03:00,PST,18800,19.63
Concrete,2020-01-31 03:05,PST,18900,19.66
Concrete,2020-01-31 03:10,PST,19200,19.72
Concrete,2020-01-31 03:15,PST,19400,19.76
Concrete,2020-01-31 03:20,PST,19400,19.76
Concrete,2020-01-31 03:25,PST,19100,19.7
Concrete,2020-01-31 03:30,PST,19200,19.72
Concrete,2020-01-31 03:35,PST,19100,19.7
Concrete,2020-01-31 03:40,PST,19300,19.73
Concrete,2020-01-31 03:45,PST,19300,19.73
Concrete,2020-01-31 03:50,PST,19200,19.71
Concrete,2020-01-31 03:55,PST,19200,19.72
Concrete,2020-01-31 04:00,PST,19400,19.76
Concrete,2020-01-31 04:05,PST,19300,19.74
Concrete,2020-01-31 04:10,PST,19300,19.74
Concrete,2020-01-31 04:15,PST,19800,19.84
Concrete,2020-01-31 04:20,PST,19400,19.76
Concrete,2020-01-31 04:25,PST,19600,19.8
Concrete,2020-01-31 04:30,PST,19400,19.75
Concrete,2020-01-31 04:35,PST,19400,19.75
Concrete,2020-01-31 04:40,PST,19500,19.78
Concrete,2020-01-31 04:45,PST,19400,19.76
Concrete,2020-01-31 04:50,PST,19400,19.76
Concrete,2020-01-31 04:55,PST,19400,19.76
Concrete,2020-01-31 05:00,PST,19400,19.75
Concrete,2020-01-31 05:05,PST,19400,19.77
Concrete,2020-01-31 05:10,PST,19600,19.8
Concrete,2020-01-31 05:15,PST,19600,19.8
Concrete,2020-01-31 05:20,PST,19500,19.79
Concrete,2020-01-31 05:25,PST,19500,19.79
Concrete,2020-01-31 05:30,PST,19600,19.8
Concrete,2020-01-31 05:35,PST,19600,19.8
Concrete,2020-01-31 05:40,PST,19700,19.82
Concrete,2020-01-31 05:45,PST,19700,19.82
Concrete,2020-01-31 05:50,PST,19500,19.78
Concrete,2020-01-31 05:55,PST,19600,19.8
Concrete,2020-01-31 06:00,PST,19400,19.76
Concrete,2020-01-31 06:05,PST,19700,19.82
Concrete,2020-01-31 06:10,PST,19600,19.8
Concrete,2020-01-31 06:15,PST,19900,19.87
Concrete,2020-01-31 06:20,PST,19800,19.85
Concrete,2020-01-31 06:25,PST,19900,19.86
Concrete,2020-01-31 06:30,PST,19800,19.85
Concrete,2020-01-31 06:35,PST,20000,19.89
Concrete,2020-01-31 06:40,PST,20000,19.89
Concrete,2020-01-31 06:45,PST,19900,19.86
Concrete,2020-01-31 06:50,PST,19900,19.88
Concrete,2020-01-31 06:55,PST,20000,19.89
Concrete,2020-01-31 07:00,PST,19900,19.87
Concrete,2020-01-31 07:05,PST,19900,19.86
Concrete,2020-01-31 07:10,PST,20000,19.9
Concrete,2020-01-31 07:15,PST,20000,19.89
Concrete,2020-01-31 07:20,PST,20000,19.9
Concrete,2020-01-31 07:25,PST,20100,19.92
Concrete,2020-01-31 07:30,PST,20000,19.9
Concrete,2020-01-31 07:35,PST,20300,19.95
Concrete,2020-01-31 07:40,PST,20300,19.95
Concrete,2020-01-31 07:45,PST,20200,19.94
Concrete,2020-01-31 07:50,PST,20400,19.97
Concrete,2020-01-31 07:55,PST,20400,19.98
Concrete,2020-01-31 08:00,PST,20200,19.94
Concrete,2020-01-31 08:05,PST,20900,20.08
Concrete,2020-01-31 08:10,PST,20600,20.02
Concrete,2020-01-31 08:15,PST,20500,20.0
Concrete,2020-01-31 08:20,PST,20400,19.98
Concrete,2020-01-31 08:25,PST,20600,20.01
Concrete,2020-01-31 08:30,PST,20600,20.02
Concrete,2020-01-31 08:35,PST,20600,20.02
Concrete,2020-01-31 08:40,PST,20700,20.05
Concrete,2020-01-31 08:45,PST,20900,20.08
Concrete,2020-01-31 08:50,PST,20600,20.02
Concrete,2020-01-31 08:55,PST,20800,20.07
Concrete,2020-01-31 09:00,PST,20700,20.05
Concrete,2020-01-31 09:05,PST,20800,20.07
Concrete,2020-01-31 09:10,PST,20900,20.08
Concrete,2020-01-31 09:15,PST,20900,20.08
Concrete,2020-01-31 09:20,PST,21100,20.12
Concrete,2020-01-31 09:25,PST,20900,20.09
Concrete,2020-01-31 09:30,PST,21200,20.14
Concrete,2020-01-31 09:35,PST,21300,20.16
Concrete,2020-01-31 09:40,PST,21400,20.19
Concrete,2020-01-31 09:45,PST,21300,20.17
Concrete,2020-01-31 09:50,PST,21300,20.17
Concrete,2020-01-31 09:55,PST,21500,20.21
Concrete,2020-01-31 10:00,PST,21300,20.17
Concrete,2020-01-31 10:05,PST,21300,20.16
Concrete,2020-01-31 10:10,PST,21500,20.21
Concrete,2020-01-31 10:15,PST,21400,20.19
Concrete,2020-01-31 10:20,PST,21500,20.2
Concrete,2020-01-31 10:25,PST,21500,20.21
Concrete,2020-01-31 10:30,PST,21500,20.21
