city,datetime,timezone,discharge,gauge_lvl
Mount Vernon,2020-01-31 00:00,PST,24700,18.24
Mount Vernon,2020-01-31 00:15,PST,24800,18.26
Mount Vernon,2020-01-31 00:30,PST,24700,18.22
Mount Vernon,2020-01-31 00:45,PST,24700,18.22
Mount Vernon,2020-01-31 01:00,PST,24700,18.22
Mount Vernon,2020-01-31 01:15,PST,24700,18.23
Mount Vernon,2020-01-31 01:30,PST,24700,18.23
Mount Vernon,2020-01-31 01:45,PST,24700,18.24
Mount Vernon,2020-01-31 02:00,PST,24800,18.25
Mount Vernon,2020-01-31 02:15,PST,24700,18.24
Mount Vernon,2020-01-31 02:30,PST,24800,18.25
Mount Vernon,2020-01-31 02:45,PST,24800,18.27
Mount Vernon,2020-01-31 03:00,PST,24900,18.29
Mount Vernon,2020-01-31 03:15,PST,24900,18.29
Mount Vernon,2020-01-31 03:30,PST,25000,18.31
Mount Vernon,2020-01-31 03:45,PST,25000,18.33
Mount Vernon,2020-01-31 04:00,PST,25100,18.35
Mount Vernon,2020-01-31 04:15,PST,25100,18.36
Mount Vernon,2020-01-31 04:30,PST,25200,18.39
Mount Vernon,2020-01-31 04:45,PST,25200,18.4
Mount Vernon,2020-01-31 05:00,PST,25300,18.43
Mount Vernon,2020-01-31 05:15,PST,25400,18.45
Mount Vernon,2020-01-31 05:30,PST,25500,18.47
Mount Vernon,2020-01-31 05:45,PST,25500,18.5
Mount Vernon,2020-01-31 06:00,PST,25600,18.52
Mount Vernon,2020-01-31 06:15,PST,25700,18.54
Mount Vernon,2020-01-31 06:30,PST,25800,18.58
Mount Vernon,2020-01-31 06:45,PST,25900,18.61
Mount Vernon,2020-01-31 07:00,PST,25900,18.62
Mount Vernon,2020-01-31 07:15,PST,26000,18.66
Mount Vernon,2020-01-31 07:30,PST,26100,18.69
Mount Vernon,2020-01-31 07:45,PST,26100,18.69
Mount Vernon,2020-01-31 08:00,PST,26300,18.73
Mount Vernon,2020-01-31 08:15,PST,26400,18.76
Mount Vernon,2020-01-31 08:30,PST,26400,18.77
Mount Vernon,2020-01-31 08:45,PST,26500,18.8
Mount Vernon,2020-01-31 09:00,PST,26600,18.83
Mount Vernon,2020-01-31 09:15,PST,26600,18.84
Mount Vernon,2020-01-31 09:30,PST,26800,18.89
Mount Vernon,2020-01-31 09:45,PST,26900,18.92
Mount Vernon,2020-01-31 10:00,PST,26900,18.94
Mount Vernon,2020-01-31 10:15,PST,27000,18.97
Mount Vernon,2020-01-31 10:30,PST,27100,18.98
Mount Vernon,2020-01-31 10:45,PST,27200,19.02
Mount Vernon,2020-01-31 11:00,PST,27200,19.02
Mount Vernon,2020-01-31 11:15,PST,27400,19.1
Mount Vernon,2020-01-31 11:30,PST,27300,19.07
Mount Vernon,2020-01-31 11:45,PST,27600,19.15
Mount Vernon,2020-01-31 12:00,PST,27600,19.15
Mount Vernon,2020-01-31 12:15,PST,27700,19.18
Mount Vernon,2020-01-31 12:30,PST,27800,19.2
Mount Vernon,2020-01-31 12:45,PST,27900,19.23
Mount Vernon,2020-01-31 13:00,PST,28000,19.26
Mount Vernon,2020-01-31 13:15,PST,28200,19.33
Mount Vernon,2020-01-31 13:30,PST,28200,19.35
Mount Vernon,2020-01-31 13:45,PST,28400,19.39
Mount Vernon,2020-01-31 14:00,PST,28400,19.41
Mount Vernon,2020-01-31 14:15,PST,28600,19.46
Mount Vernon,2020-01-31 14:30,PST,28800,19.52
Mount Vernon,2020-01-31 14:45,PST,29000,19.57
Mount Vernon,2020-01-31 15:00,PST,29100,19.6
Mount Vernon,2020-01-31 15:15,PST,29300,19.67
Mount Vernon,2020-01-31 15:30,PST,29400,19.69
Mount Vernon,2020-01-31 15:45,PST,29600,19.77
Mount Vernon,2020-01-31 16:00,PST,29800,19.82
Mount Vernon,2020-01-31 16:15,PST,30000,19.88
Mount Vernon,2020-01-31 16:30,PST,30000,19.89
Mount Vernon,2020-01-31 16:45,PST,30300,19.96
Mount Vernon,2020-01-31 17:00,PST,30500,20.02
Mount Vernon,2020-01-31 17:15,PST,30700,20.08
Mount Vernon,2020-01-31 17:30,PST,30800,20.11
Mount Vernon,2020-01-31 17:45,PST,31000,20.16
Mount Vernon,2020-01-31 18:00,PST,31300,20.26
Mount Vernon,2020-01-31 18:15,PST,31400,20.28
Mount Vernon,2020-01-31 18:30,PST,31600,20.35
Mount Vernon,2020-01-31 18:45,PST,31900,20.44
Mount Vernon,2020-01-31 19:00,PST,32100,20.5
Mount Vernon,2020-01-31 19:15,PST,32200,20.52
Mount Vernon,2020-01-31 19:30,PST,32500,20.61
Mount Vernon,2020-01-31 19:45,PST,32700,20.67
Mount Vernon,2020-01-31 20:00,PST,32900,20.72
Mount Vernon,2020-01-31 20:15,PST,33100,20.78
Mount Vernon,2020-01-31 20:30,PST,33400,20.85
Mount Vernon,2020-01-31 20:45,PST,33600,20.9
Mount Vernon,2020-01-31 21:00,PST,33800,20.97
Mount Vernon,2020-01-31 21:15,PST,34000,21.03
Mount Vernon,2020-01-31 21:30,PST,34200,21.09
Mount Vernon,2020-01-31 21:45,PST,34500,21.17
Mount Vernon,2020-01-31 22:00,PST,34700,21.22
Mount Vernon,2020-01-31 22:15,PST,34900,21.26
Mount Vernon,2020-01-31 22:30,PST,35200,21.34
Mount Vernon,2020-01-31 22:45,PST,35500,21.43
Mount Vernon,2020-01-31 23:00,PST,35600,21.47
Mount Vernon,2020-01-31 23:15,PST,36000,21.58
Mount Vernon,2020-01-31 23:30,PST,36200,21.62
Mount Vernon,2020-01-31 23:45,PST,36500,21.71
Mount Vernon,2020-02-01 00:00,PST,36700,21.75
Mount Vernon,2020-02-01 00:15,PST,36900,21.82
Mount Vernon,2020-02-01 00:30,PST,37200,21.9
Mount Vernon,2020-02-01 00:45,PST,37600,21.98
Mount Vernon,2020-02-01 01:00,PST,37900,22.06
Mount Vernon,2020-02-01 01:15,PST,38200,22.14
Mount Vernon,2020-02-01 01:30,PST,38500,22.23
Mount Vernon,2020-02-01 01:45,PST,38700,22.28
Mount Vernon,2020-02-01 02:00,PST,39100,22.37
Mount Vernon,2020-02-01 02:15,PST,39300,22.43
Mount Vernon,2020-02-01 02:30,PST,39600,22.5
Mount Vernon,2020-02-01 02:45,PST,39900,22.59
Mount Vernon,2020-02-01 03:00,PST,40300,22.69
Mount Vernon,2020-02-01 03:15,PST,40600,22.76
Mount Vernon,2020-02-01 03:30,PST,41000,22.87
Mount Vernon,2020-02-01 03:45,PST,41300,22.93
Mount Vernon,2020-02-01 04:00,PST,41700,23.04
Mount Vernon,2020-02-01 04:15,PST,42100,23.13
Mount Vernon,2020-02-01 04:30,PST,42400,23.2
Mount Vernon,2020-02-01 04:45,PST,42700,23.29
Mount Vernon,2020-02-01 05:00,PST,43200,23.41
Mount Vernon,2020-02-01 05:15,PST,43700,23.52
Mount Vernon,2020-02-01 05:30,PST,44100,23.62
Mount Vernon,2020-02-01 05:45,PST,44500,23.72
Mount Vernon,2020-02-01 06:00,PST,44800,23.8
Mount Vernon,2020-02-01 06:15,PST,45400,23.94
Mount Vernon,2020-02-01 06:30,PST,45800,24.02
Mount Vernon,2020-02-01 06:45,PST,46400,24.16
Mount Vernon,2020-02-01 07:00,PST,46700,24.23
Mount Vernon,2020-02-01 07:15,PST,47200,24.36
Mount Vernon,2020-02-01 07:30,PST,47700,24.46
Mount Vernon,2020-02-01 07:45,PST,48200,24.58
Mount Vernon,2020-02-01 08:00,PST,48700,24.7
Mount Vernon,2020-02-01 08:15,PST,49200,24.81
Mount Vernon,2020-02-01 08:30,PST,49600,24.89
Mount Vernon,2020-02-01 08:45,PST,50200,25.04
Mount Vernon,2020-02-01 09:00,PST,50800,25.16
Mount Vernon,2020-02-01 09:15,PST,51300,25.27
Mount Vernon,2020-02-01 09:30,PST,51800,25.38
Mount Vernon,2020-02-01 09:45,PST,52300,25.51
Mount Vernon,2020-02-01 10:00,PST,52800,25.62
Mount Vernon,2020-02-01 10:15,PST,53200,25.7
Mount Vernon,2020-02-01 10:30,PST,53800,25.82
Mount Vernon,2020-02-01 10:45,PST,54300,25.94
Mount Vernon,2020-02-01 11:00,PST,54800,26.04
Mount Vernon,2020-02-01 11:15,PST,55300,26.14
Mount Vernon,2020-02-01 11:30,PST,56000,26.29
Mount Vernon,2020-02-01 11:45,PST,56400,26.37
Mount Vernon,2020-02-01 12:00,PST,56800,26.46
Mount Vernon,2020-02-01 12:15,PST,57200,26.55
Mount Vernon,2020-02-01 12:30,PST,57700,26.65
Mount Vernon,2020-02-01 12:45,PST,58100,26.73
Mount Vernon,2020-02-01 13:00,PST,58600,26.83
Mount Vernon,2020-02-01 13:15,PST,59100,26.93
Mount Vernon,2020-02-01 13:30,PST,59500,27.02
Mount Vernon,2020-02-01 13:45,PST,59900,27.11
Mount Vernon,2020-02-01 14:00,PST,60400,27.2
Mount Vernon,2020-02-01 14:15,PST,60700,27.26
Mount Vernon,2020-02-01 14:30,PST,61000,27.33
Mount Vernon,2020-02-01 14:45,PST,61400,27.41
Mount Vernon,2020-02-01 15:00,PST,61800,27.49
Mount Vernon,2020-02-01 15:15,PST,62200,27.57
Mount Vernon,2020-02-01 15:30,PST,62500,27.63
Mount Vernon,2020-02-01 15:45,PST,62900,27.7
Mount Vernon,2020-02-01 16:00,PST,63200,27.76
Mount Vernon,2020-02-01 16:15,PST,63700,27.86
Mount Vernon,2020-02-01 16:30,PST,63900,27.91
Mount Vernon,2020-02-01 16:45,PST,64100,27.95
Mount Vernon,2020-02-01 17:00,PST,64500,28.02
Mount Vernon,2020-02-01 17:15,PST,64800,28.08
Mount Vernon,2020-02-01 17:30,PST,65100,28.13
Mount Vernon,2020-02-01 17:45,PST,65400,28.19
Mount Vernon,2020-02-01 18:00,PST,65600,28.24
Mount Vernon,2020-02-01 18:15,PST,65800,28.28
Mount Vernon,2020-02-01 18:30,PST,66200,28.35
Mount Vernon,2020-02-01 18:45,PST,66400,28.39
Mount Vernon,2020-02-01 19:00,PST,66600,28.42
Mount Vernon,2020-02-01 19:15,PST,66800,28.46
Mount Vernon,2020-02-01 19:30,PST,67100,28.52
Mount Vernon,2020-02-01 19:45,PST,67100,28.53
Mount Vernon,2020-02-01 20:00,PST,67500,28.6
Mount Vernon,2020-02-01 20:15,PST,67700,28.63
Mount Vernon,2020-02-01 20:30,PST,67800,28.66
Mount Vernon,2020-02-01 20:45,PST,68100,28.72
Mount Vernon,2020-02-01 21:00,PST,68500,28.78
Mount Vernon,2020-02-01 21:15,PST,68500,28.78
Mount Vernon,2020-02-01 21:30,PST,68900,28.86
Mount Vernon,2020-02-01 21:45,PST,68900,28.87
Mount Vernon,2020-02-01 22:00,PST,69200,28.92
Mount Vernon,2020-02-01 22:15,PST,69400,28.96
Mount Vernon,2020-02-01 22:30,PST,69800,29.02
Mount Vernon,2020-02-01 22:45,PST,69800,29.03
Mount Vernon,2020-02-01 23:00,PST,70000,29.06
Mount Vernon,2020-02-01 23:15,PST,70100,29.08
Mount Vernon,2020-02-01 23:30,PST,70500,29.14
Mount Vernon,2020-02-01 23:45,PST,70500,29.14
Mount Vernon,2020-02-02 00:00,PST,70800,29.19
Mount Vernon,2020-02-02 00:15,PST,70900,29.21
Mount Vernon,2020-02-02 00:30,PST,71000,29.22
Mount Vernon,2020-02-02 00:45,PST,71200,29.26
Mount Vernon,2020-02-02 01:00,PST,71200,29.26
Mount Vernon,2020-02-02 01:15,PST,71400,29.28
Mount Vernon,2020-02-02 01:30,PST,71400,29.28
Mount Vernon,2020-02-02 01:45,PST,71600,29.31
Mount Vernon,2020-02-02 02:00,PST,71700,29.33
Mount Vernon,2020-02-02 02:15,PST,72100,29.39
Mount Vernon,2020-02-02 02:30,PST,71900,29.37
Mount Vernon,2020-02-02 02:45,PST,72100,29.39
Mount Vernon,2020-02-02 03:00,PST,72100,29.4
Mount Vernon,2020-02-02 03:15,PST,72100,29.4
Mount Vernon,2020-02-02 03:30,PST,72100,29.39
Mount Vernon,2020-02-02 03:45,PST,72200,29.41
Mount Vernon,2020-02-02 04:00,PST,72200,29.41
Mount Vernon,2020-02-02 04:15,PST,72300,29.43
Mount Vernon,2020-02-02 04:30,PST,72300,29.43
Mount Vernon,2020-02-02 04:45,PST,72400,29.44
Mount Vernon,2020-02-02 05:00,PST,72300,29.43
Mount Vernon,2020-02-02 05:15,PST,72300,29.43
Mount Vernon,2020-02-02 05:30,PST,72300,29.42
Mount Vernon,2020-02-02 05:45,PST,72300,29.43
Mount Vernon,2020-02-02 06:00,PST,72400,29.45
Mount Vernon,2020-02-02 06:15,PST,72200,29.41
Mount Vernon,2020-02-02 06:30,PST,72300,29.42
Mount Vernon,2020-02-02 06:45,PST,72100,29.4
Mount Vernon,2020-02-02 07:00,PST,72100,29.39
Mount Vernon,2020-02-02 07:15,PST,71900,29.37
Mount Vernon,2020-02-02 07:30,PST,72100,29.39
Mount Vernon,2020-02-02 07:45,PST,71900,29.36
Mount Vernon,2020-02-02 08:00,PST,71800,29.34
Mount Vernon,2020-02-02 08:15,PST,71900,29.36
Mount Vernon,2020-02-02 08:30,PST,71800,29.35
Mount Vernon,2020-02-02 08:45,PST,71700,29.33
Mount Vernon,2020-02-02 09:00,PST,71500,29.3
Mount Vernon,2020-02-02 09:15,PST,71300,29.27
Mount Vernon,2020-02-02 09:30,PST,71300,29.27
